Kelompok,Nama Mahasiswa
1,Joko Wulandari
1,Gina Pratama
1,Nina Fauzi
1,Cici Ridwan
1,Eka Wulandari
2,Oki Siregar
2,Aldi Santoso
2,Bima Fauzi
2,Eka Ananda
2,Oki Syahputra
3,Tio Utami
3,Cici Gunawan
3,Gina Lubis
3,Gina Santoso
3,Putri Ananda
4,Cici Mahardika
4,Hana Lubis
4,Aldi Mahardika
4,Eka Utami
4,Kiki Lubis
5,Cici Syahputra
5,Nina Wijaya
5,Bima Pratama
5,Aldi Ananda
5,Bima Wijaya
6,Joko Hidayat
6,Fajar Permana
6,Hana Permana
6,Eka Hidayat
6,Nina Maulana
7,Cici Permana
7,Putri Saputra
7,Lina Ramadhan
7,Eka Santoso
7,Hana Septiani
8,Mira Syahputra
8,Ivan Santoso
8,Tio Gunawan
8,Ivan Hidayat
8,Ivan Siregar
9,Cici Siregar
9,Oki Mahardika
9,Hana Lubis
9,Bima Putri
9,Lina Fauzi
10,Rian Syahputra
10,Tio Septiani
10,Kiki Utami
10,Bima Ramadhan
10,Eka Siregar
11,Rian Hidayat
11,Cici Saputra
11,Hana Syahputra
11,Aldi Pratama
11,Bima Syahputra
12,Aldi Hidayat
12,Cici Hidayat
12,Sari Utami
12,Fajar Syahputra
12,Hana Putri
13,Tio Septiani
13,Umi Hidayat
13,Kiki Ananda
13,Joko Fauzi
13,Sari Mahardika
14,Lina Ramadhan
14,Sari Wijaya
14,Hana Gunawan
14,Nina Ananda
14,Mira Permana
15,Tio Fauzi
15,Hana Pratama
15,Tio Septiani
15,Cici Santoso
15,Aldi Santoso
16,Bima Siregar
16,Kiki Maulana
16,Dina Mahardika
16,Fajar Wulandari
16,Bima Permana
17,Eka Utami
17,Ivan Permana
17,Tio Saputra
17,Fajar Ridwan
17,Gina Syahputra
18,Cici Santoso
18,Kiki Pratama
18,Kiki Ananda
18,Cici Ananda
18,Aldi Ramadhan
19,Rian Septiani
19,Gina Septiani
19,Oki Hidayat
19,Dina Ramadhan
19,Fajar Gunawan
20,Tio Fauzi
20,Fajar Lubis
20,Joko Gunawan
20,Cici Pratama
20,Mira Hidayat
21,Fajar Utami
21,Cici Gunawan
21,Aldi Septiani
21,Mira Siregar
21,Kiki Ramadhan
22,Aldi Wulandari
22,Dina Septiani
22,Putri Wulandari
22,Kiki Hidayat
22,Eka Santoso
23,Mira Septiani
23,Bima Mahardika
23,Tio Siregar
23,Tio Syahputra
23,Nina Wulandari
24,Bima Septiani
24,Ivan Gunawan
24,Mira Ridwan
24,Dina Pratama
24,Dina Gunawan
25,Fajar Lubis
25,Bima Siregar
25,Hana Septiani
25,Rian Ridwan
25,Oki Ramadhan
26,Joko Fauzi
26,Kiki Saputra
26,Kiki Mahardika
26,Tio Putri
26,Mira Putri
27,Putri Mahardika
27,Aldi Siregar
27,Tio Utami
27,Nina Siregar
27,Cici Ridwan
28,Nina Wijaya
28,Kiki Mahardika
28,Nina Putri
28,Joko Hidayat
28,Fajar Siregar
29,Mira Hidayat
29,Gina Septiani
29,Cici Santoso
29,Mira Lubis
29,Cici Putri
30,Tio Permana
30,Rian Maulana
30,Cici Septiani
30,Gina Syahputra
30,Joko Permana
31,Eka Maulana
31,Ivan Permana
31,Tio Pratama
31,Eka Ananda
31,Sari Siregar
32,Mira Saputra
32,Tio Mahardika
32,Aldi Mahardika
32,Umi Santoso
32,Oki Hidayat
33,Putri Permana
33,Ivan Putri
33,Umi Pratama
33,Aldi Siregar
33,Eka Wulandari
34,Umi Ramadhan
34,Aldi Santoso
34,Nina Maulana
34,Kiki Siregar
34,Mira Mahardika
35,Eka Ridwan
35,Dina Hidayat
35,Joko Syahputra
35,Oki Ridwan
35,Cici Utami
36,Aldi Syahputra
36,Bima Ananda
36,Hana Ridwan
36,Mira Ananda
36,Ivan Wulandari
37,Dina Ananda
37,Gina Ramadhan
37,Dina Wulandari
37,Aldi Putri
37,Mira Mahardika
38,Oki Utami
38,Hana Mahardika
38,Gina Ramadhan
38,Mira Pratama
38,Cici Gunawan
39,Joko Ananda
39,Lina Santoso
39,Ivan Wijaya
39,Eka Ridwan
39,Putri Pratama
40,Nina Maulana
40,Aldi Septiani
40,Lina Ridwan
40,Nina Wulandari
40,Dina Septiani
41,Hana Ridwan
41,Putri Siregar
41,Cici Saputra
41,Oki Ramadhan
41,Sari Pratama
42,Umi Syahputra
42,Umi Ananda
42,Tio Maulana
42,Eka Ramadhan
42,Eka Wulandari
43,Umi Syahputra
43,Umi Ramadhan
43,Bima Putri
43,Lina Utami
43,Rian Wulandari
44,Cici Ananda
44,Oki Gunawan
44,Putri Saputra
44,Tio Ridwan
44,Nina Wijaya
45,Umi Syahputra
45,Dina Santoso
45,Sari Mahardika
45,Lina Putri
45,Hana Ananda
46,Tio Putri
46,Eka Fauzi
46,Lina Ramadhan
46,Eka Hidayat
46,Cici Fauzi
47,Mira Maulana
47,Bima Ramadhan
